ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL,POSITION
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,1998,KINJARAPU YERRANNAIDU,M,TDP,286582,1
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,1998,APPAYYA DORA HANUMANTHU,M,NTRTDP(LP),200217,2
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,1998,DHARMANA PRASADA RAO,M,INC,175762,3
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,1998,TAMMINENI JAGANMOHANARAO,M,IND,1792,4
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,1998,VIJAYA RAMARAJU SETRUCHARLA,M,TDP,299904,1
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,1998,PRADEEP KUMAR DEV VYRICHERLA,M,INC,276627,2
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,1998,ARIKA GUMPASWAMY,M,IND,8771,3
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,1998,UYIKA MUTYALU,M,IND,7984,4
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,1998,KONDAPALLI PYDITHALLI NAIDU,M,TDP,298961,1
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,1998,BOTCHA SATYANARAYANA,M,INC,272053,2
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,1998,VASIREDDY VARADA RAMA RAO,M,BJP,105959,3
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,1998,VENKATA SURYA RAGHUNADHA VARMA POOSAPATI,M,IND,3155,4
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,1998,SATYAVATHI SOMU,F,IND,1066,5
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,1998,SUBBARAMI REDDY.T,M,INC,375782,1
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,1998,ANANDA GAJAPATHI RAJU PUSAPATI,M,TDP,314265,2
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,1998,D.V.SUBBA RAO,M,BJP,195452,3
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,1998,APPARAO GUDIVADA,M,IND,1757,4
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,1998,SANGAMREDDY SURAPPADU,M,IND,1529,5
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,1998,GUNTUBOYANA NARAYANA RAO,M,SP,1385,6
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,RAMAIAH SODE,M,CPI,263141,1
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,KARREDDULA KAMALA KUMARI,F,INC,203701,2
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,SETTI  LAKSHMANUDU,M,NTRTDP(LP),121615,3
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,KURASAM SUBBA RAO,M,IND,50314,4
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,KECHELA RANGA REDDI,M,IND,25185,5
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,MURLA YERRAYYA REDDY,M,IND,5252,6
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,1998,GORLE VINOD CHAND,M,IND,3735,7
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,1998,GURUNADHA RAO GUDIVADA,M,INC,321840,1
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,1998,AYYANNA PATRUDU CHINTAKAYALA,M,TDP,295915,2
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,1998,P.V.CHALAPATHI RAO,M,BJP,114360,3
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,KRISHNAMRAJU U.V.,M,BJP,330381,1
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,GOPALA KRISHNA THOTA,M,TDP,262582,2
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,MALLIPUDI MANGAPATHI PALLAMRAJU,M,INC,193178,3
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,MURTHY NAINALASETTY,M,CPI(ML)(L),8682,4
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,CHOLLANGI VENU,M,BSP,3549,5
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,PITTA SAHADEVUDU,M,IND,2381,6
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,RAJARAO GOLLEPALLI,M,IND,1874,7
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,PENTAPATI CHANDRASEKHARARAO,M,IND,1456,8
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,1998,VADAKATTU NEHRU,M,IND,569,9
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,1998,GIRAJALA VENKATA SWAMY NAIDU,M,BJP,285741,1
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,1998,M.V.V.S. MURTHI,M,TDP,275829,2
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,1998,T.V.SATYANARAYANA REDDY,M,INC,210901,3
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,1998,M. DURGAPRASAD,M,IND,3440,4
