ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,CAND_CATEGORY,PARTYABBRE,TOTVOTPOLL,POSITION
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,YERRANNAIDU KINJARAPU,M,GEN,TDP,361906,1
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,KILLI KRUPARANI,F,GEN,INC,330027,2
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,DUNGA RANGARAO NAIDU,M,GEN,IND,13848,3
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,MYLAPALLI LAKSHMUDU,M,GEN,BSP,13011,4
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,TAMMINENI JAGANMOHAN RAO,M,GEN,IND,4982,5
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,M,ST,INC,321788,1
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,DADICHILUKA VEERA GOURI SANKARA RAO,M,ST,TDP,314370,2
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,UOOYAKA MUTYALU,M,ST,IND,13896,3
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,ARIKA GUMPASWAMY,M,ST,IND,10869,4
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,KONDAPALLI PYDITHALLI NAIDU,M,GEN,TDP,373922,1
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,JHANSI BOTCHA,F,GEN,INC,342574,2
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,PEDDINTI JAGANMOHAN RAO,M,GEN,IND,16098,3
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,G.VENKATESH,M,SC,TRS,14131,4
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,JANARDHANA REDDY NEDURUMALLI,M,GEN,INC,524122,1
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,DR.M.V.V.S.MURTHY,M,GEN,TDP,393551,2
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,KOLAVENTI SUNDARA RAO,M,GEN,BSP,16673,3
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,BHARANIKANA RAMA RAO,M,GEN,IND,11002,4
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,MANDEM SUBHASH CHANDRA BOSE YADAV,M,GEN,SP,5685,5
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,SATYANARAYANA MACHIRAJU,M,GEN,IND,5602,6
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,VAMSI KIRAN.B,M,GEN,PPOI,2920,7
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,S.V.B.REDDY,M,GEN,IND,2358,8
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,MAMIDI SOMUNAIDU,M,GEN,RJD,2018,9
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,APPARAO GUDIVADA,M,GEN,IND,1809,10
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,MIDIYAM BABU RAO,M,ST,CPM,373148,1
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,SMT.KPRK PHANEESWARAMMA,F,ST,TDP,319342,2
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,JANNI APPA RAO,M,ST,BSP,71978,3
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,KETCHELA RANGA REDDI,M,ST,IND,38219,4
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,MADAKAM BHEEMA RAJU,M,ST,MCPI(S),20728,5
