SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
1,	Bajrang Vats,HISAR,IND,0,Graduate Professional,"Rs 31,89,687","Rs 0, "
2,	Bijender,HISAR,IND,0,5th Pass,"Rs 31,16,503","Rs 6,30,000, "
3,	Mange Ram Verma,HISAR,IND,0,12th Pass,"Rs 1,47,04,649","Rs 0, "
4,	Pardeep Kumar,HISAR,IND,0,12th Pass,"Rs 10,73,052","Rs 6,84,517, "
5,	Saleem Din,HISAR,IND,0,Others,"Rs 1,12,150","Rs 30,100, "
6,	Shamsher Singh,HISAR,IND,0,Illiterate,"Rs 4,54,48,549","Rs 0, "
7,	Sudhir Godara,HISAR,IND,0,Graduate Professional,"Rs 1,93,01,000","Rs 40,43,045, "
8,Parmar Vijay,RAJKOT,BSP,,12th Pass,"Rs 5,35,000","Rs 0, "
9,A M Ariff,ALAPPUZHA,CPI(M),,Graduate Professional,"Rs 1,52,68,906","Rs 22,20,700, "
10,A M Izharul Haque,UJIARPUR,Sathi Aur Aapka Faisala Party,0,Post Graduate,"Rs 8,54,501","Rs 0, "
11,A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,"Rs 9,61,97,642","Rs 0, "
12,A Natarajan,COIMBATORE,IND,0,5th Pass,"Rs 7,000","Rs 0, "
13,A Pradeep Kumar,KOZHIKODE,CPI(M),,12th Pass,"Rs 1,19,15,342","Rs 20,79,872, "
14,A T Dadakhalandar,DAVANAGERE,IND,0,10th Pass,"Rs 1,30,139","Rs 20,403, "
15,A. Beemarao Milinther,VELLORE,IND,0,10th Pass,"Rs 50,000","Rs 0, "
16,A. Christhuraj,BANGALORE CENTRAL,IND,0,10th Pass,"Rs 6,91,000","Rs 3,75,000, "
17,A. Devadas,BELLARY,SUCI(C),0,8th Pass,"Rs 19,43,531","Rs 0, "
18,A. Habeebulla,VELLORE,Desiya Uzhavar Uzhaipalar Kazhagam,0,5th Pass,"Rs 7,75,500","Rs 0, "
19,A. Hafeez A. Aziz,BULDHANA,BSP,0,12th Pass,"Rs 11,66,769","Rs 7,00,000, "
20,A. Hemanth,CHITTOOR,IND,0,5th Pass,"Rs 50,000","Rs 0, "
21,A. J. Patel,MAHESANA,INC,0,Graduate Professional,"Rs 69,87,73,712","Rs 9,62,20,673, "
22,A. Jayamani,CUDDALORE,IND,0,Graduate Professional,"Rs 9,10,000","Rs 0, "
23,A. Manikandan,CUDDALORE,Purvanchal Janta Party (Secular),0,8th Pass,"Rs 4,91,750","Rs 9,20,000, "
24,A. Marimuthu,CUDDALORE,IND,0,Graduate Professional,"Rs 3,68,000","Rs 0, "
25,A. Raja,NILGIRIS,DMK,,Graduate Professional,"Rs 4,95,91,024","Rs 14,24,914, "
26,A. Vijaya Kumar,VELLORE,IND,0,12th Pass,"Rs 2,07,50,344","Rs 0, "
27,A.A. Sabri,CHEVELLA,IND,0,12th Pass,"Rs 23,26,979","Rs 0, "
28,A.Antony Sesu Raja,SIVAGANGA,IND,0,10th Pass,"Rs 17,92,000","Rs 8,00,000, "
29,A.C. Shanmugam,VELLORE,AIADMK,0,Graduate,"Rs 1,25,84,59,641","Rs 36,31,32,594, "
30,A.G. Mourya,CHENNAI NORTH,Makkal Needhi Maiam,0,Post Graduate,"Rs 4,15,90,000","Rs 1,24,97,000, "
31,A.G.Pathimaraj,PUDUCHERRY,BSP,0,Graduate Professional,"Rs 3,97,117","Rs 1,79,146, "
32,A.J.Sherine,CHENNAI SOUTH,Naam Tamilar Katchi,0,Post Graduate,"Rs 34,66,760","Rs 0, "
33,A.K. Moorthy,ARAKKONAM,Pattali Makkal Katchi,,Post Graduate,"Rs 4,60,23,417","Rs 77,10,578, "
34,A.Manikandan,TIRUVALLUR,IND,0,12th Pass,"Rs 3,32,400","Rs 53,000, "
35,A.Naresh,CHENNAI SOUTH,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,"Rs 2,40,000","Rs 14,000, "
36,A.Radha Krishnan,SIVAGANGA,IND,0,12th Pass,"Rs 2,20,000","Rs 3,35,000, "
37,A.Raju,BANGALORE SOUTH,BSP,0,Graduate,"Rs 5,44,19,000","Rs 4,60,000, "
38,A.Sampath,ATTINGAL,CPI(M),0,Doctorate,"Rs 3,84,48,688","Rs 36,11,333, "
39,A.Senthilvel,TIRUPPUR,IND,0,8th Pass,"Rs 42,56,700","Rs 0, "
40,A.Velladurai,SIVAGANGA,Ezhuchi Tamilargal Munnetra Kazhagam,0,8th Pass,"Rs 28,15,600","Rs 63,000, "
41,Aadhalrao Shivaji Dattatrey,SHIRUR,SHS,,Others,"Rs 29,01,65,511","Rs 4,98,98,166, "
42,Aadhi Krishnan P,KARUR,BSP,0,Literate,"Rs 1,74,852","Rs 18,269, "
43,Aadil,HARIDWAR,IND,0,Literate,"Rs 8,64,000","Rs 0, "
44,Aakash Birla,KHANDWA,Madhya Pradesh Jan Vikas Party,0,12th Pass,"Rs 37,390","Rs 0, "
45,Aakash Kumar,PURVI CHAMPARAN,Rashtriya Lok Samta Party,0,12th Pass,"Rs 2,58,67,226","Rs 0, "
46,Aalone Baxla,LOHARDAGA,IND,0,Graduate,"Rs 27,38,947","Rs 0, "
47,Aamin Mamadbhai Safiya,JAMNAGAR,IND,0,8th Pass,"Rs 46,100","Rs 0, "
48,Aantroliya Karabhai,PORBANDAR,IND,0,8th Pass,"Rs 7,60,000","Rs 13,29,600, "
49,Aappa Aaba Lokare	,MADHA,BSP,0,8th Pass,"Rs 97,90,000","Rs 0, "
50,Aare Ellanna,ADILABAD,IND,0,5th Pass,"Rs 30,000","Rs 0, "
51,Aare Sayanna,NIZAMABAD,IND,0,12th Pass,"Rs 6,50,000","Rs 0, "
52,Aashin U. S.,VARANASI,Indian Gandhiyan Party,,12th Pass,"Rs 3,26,000","Rs 0, "
53,Aashish Ratre,JANJGIR CHAMPA,Peoples Party of India (Democratic),0,Post Graduate,"Rs 72,80,000","Rs 0, "
54,Aashish S Saxena,NEW DELHI,IND,0,Post Graduate,"Rs 26,80,000","Rs 2,42,000, "
55,Aashray Sharma,MANDI,INC,0,Others,"Rs 4,85,23,665","Rs 1,62,86,033, "
56,Aatma Ram Sahu,DURG,SUCI(C),0,Post Graduate,"Rs 48,000","Rs 0, "
57,Aaytu Ram Mandavi,BASTAR,BSP,0,8th Pass,"Rs 5,47,094","Rs 0, "
58,Abbas Chhatriwala,MUMBAI SOUTH,Jan Adhikar Party,0,10th Pass,"Rs 50,40,147","Rs 0, "
