SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
1,A M Ariff,ALAPPUZHA,CPI(M),2,Graduate Professional,"Rs 1,52,68,906","Rs 22,20,700, "
2,A Narayanaswamy,CHITRADURGA,BJP,,Graduate,"Rs 9,61,97,642","Rs 0, "
3,A. Raja,NILGIRIS,DMK,6,Graduate Professional,"Rs 4,95,91,024","Rs 14,24,914, "
4,Abdul Khaleque,BARPETA,INC,,Post Graduate,"Rs 73,98,753","Rs 27,03,693, "
5,Abhishek Banerjee,DIAMOND HARBOUR,AITC,,Graduate,"Rs 1,37,94,320","Rs 0, "
6,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,,Doctorate,"Rs 27,09,59,520","Rs 7,28,107, "
7,Abu Taher Khan,MURSHIDABAD,AITC,3,8th Pass,"Rs 89,26,616","Rs 13,50,000, "
8,Achyutananda Samanta,KANDHAMAL,BJD,,Doctorate,"Rs 12,44,722","Rs 0, "
9,Adala Prabhakara Reddy,NELLORE,YSRCP,,12th Pass,"Rs 2,21,16,63,364","Rs 15,22,81,255, "
10,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,7,10th Pass,"Rs 10,13,15,437","Rs 85,06,984, "
11,Adoor Prakash,ATTINGAL,INC,7,Graduate Professional,"Rs 14,40,98,612","Rs 2,76,22,685, "
12,Afzal Ansari,GHAZIPUR,BSP,5,Post Graduate,"Rs 13,79,38,756","Rs 0, "
13,Agatha K. Sangma,TURA,NPP,,Post Graduate,"Rs 2,94,06,813","Rs 0, "
14,Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,,Graduate Professional,"Rs 1,96,99,529","Rs 0, "
15,Ajay Kumar,KHERI,BJP,1,Graduate Professional,"Rs 4,52,95,455","Rs 0, "
16,Ajay Kumar Mandal,BHAGALPUR,JD(U),,8th Pass,"Rs 68,01,126","Rs 53,64,747, "
17,Ajay Nishad,MUZAFFARPUR,BJP,1,Graduate,"Rs 29,88,67,486","Rs 1,57,14,320, "
18,Ajay Singh Dharmendra Deol (Sunny Deol),GURDASPUR,BJP,,Others,"Rs 87,19,25,679","Rs 53,46,44,785, "
19,Ajay Tamta,ALMORA,BJP,,12th Pass,"Rs 99,10,448","Rs 55,845, "
20,Akhilesh Yadav,AZAMGARH,SP,,Graduate Professional,"Rs 37,78,59,166","Rs 28,53,000, "
21,Akshayabar Lal,BAHRAICH,BJP,,10th Pass,"Rs 4,56,91,463","Rs 30,28,133, "
22,Amar Singh,FATEHGARH SAHIB,INC,,Post Graduate,"Rs 3,28,08,836","Rs 0, "
23,Amit Shah,GANDHINAGAR,BJP,4,12th Pass,"Rs 40,32,75,307","Rs 47,69,587, "
24,Amol Ramsing Kolhe,SHIRUR,NCP,,Graduate Professional,"Rs 4,33,51,521","Rs 14,88,116, "
25,Anantkumar Hegde,UTTARA KANNADA,BJP,4,12th Pass,"Rs 8,47,55,455","Rs 4,10,16,655, "
26,Angadi Suresh,BELGAUM,BJP,,Graduate Professional,"Rs 36,61,64,525","Rs 19,84,79,638, "
27,Anil Firojiya,UJJAIN,BJP,,12th Pass,"Rs 2,64,17,937","Rs 32,03,766, "
28,Annadurai C N,TIRUVANNAMALAI,DMK,,Graduate,"Rs 13,48,97,466","Rs 3,22,43,604, "
29,Annapurna Devi,KODARMA,BJP,,Post Graduate,"Rs 9,76,36,939","Rs 31,89,066, "
30,Annasaheb Shankar Jolle,CHIKKODI,BJP,,12th Pass,"Rs 34,49,22,831","Rs 19,55,95,693, "
31,Anto Antony,PATHANAMTHITTA,INC,1,Graduate,"Rs 60,75,876","Rs 77,23,227, "
32,Anubhav Mohanty,KENDRAPARA,BJD,,Graduate,"Rs 2,23,09,172","Rs 41,33,506, "
33,Anumula Revanth Reddy,MALKAJGIRI,INC,42,Graduate,"Rs 24,53,57,182","Rs 2,78,07,304, "
34,Anupriya Singh Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,"Rs 2,69,00,662","Rs 18,05,603, "
35,Anurag Sharma,JHANSI,BJP,,Post Graduate,"Rs 1,24,30,60,113","Rs 1,42,12,970, "
36,Anurag Singh Thakur,HAMIRPUR,BJP,3,Graduate,"Rs 5,67,70,463","Rs 10,85,145, "
37,Aparajita Sarangi,BHUBANESWAR,BJP,,Graduate,"Rs 3,16,77,600","Rs 43,29,959, "
38,Aparupa Poddar (Afrin Ali),ARAMBAG,AITC,1,Post Graduate,"Rs 1,25,27,597","Rs 42,44,000, "
39,Arjun Munda,KHUNTI,BJP,,12th Pass,"Rs 9,15,07,865","Rs 2,71,06,434, "
40,Arjun Ram Meghwal,BIKANER,BJP,,Post Graduate,"Rs 2,35,24,459","Rs 10,60,314, "
41,Arjun Singh,BARRACKPUR,BJP,24,10th Pass,"Rs 80,55,691","Rs 11,00,000, "
42,Arjunlal Meena,UDAIPUR,BJP,,Post Graduate,"Rs 4,81,96,946","Rs 1,56,02,872, "
43,Arun Kumar Sagar,SHAHJAHANPUR,BJP,1,12th Pass,"Rs 4,34,48,049","Rs 11,79,697, "
44,Arun Sao,BILASPUR,BJP,,Graduate Professional,"Rs 1,35,44,588","Rs 50,000, "
45,Arvind Kumar Sharma,ROHTAK,BJP,,Post Graduate,"Rs 4,10,79,284","Rs 1,67,78,090, "
46,Arvind Sawant,MUMBAI SOUTH,SHS,1,Graduate,"Rs 2,71,81,577","Rs 0, "
47,Asaduddin Owaisi,HYDERABAD,AIMIM,5,Graduate Professional,"Rs 17,90,44,376","Rs 12,05,00,000, "
48,Ashok Kumar,MISRIKH,BJP,,Post Graduate,"Rs 4,87,71,207","Rs 57,35,470, "
49,Ashok Kumar Yadav,MADHUBANI,BJP,1,Doctorate,"Rs 4,66,99,125","Rs 78,92,847, "
50,Ashok Mahadevrao Nete,GADCHIROLI CHIMUR,BJP,,12th Pass,"Rs 5,01,36,369","Rs 1,56,82,840, "
51,Ashwini Kumar Choubey,BUXAR,BJP,3,Graduate,"Rs 4,01,83,612","Rs 13,50,667, "
52,Asit Kumar Mal,BOLPUR,AITC,,10th Pass,"Rs 13,10,691","Rs 0, "
53,Atul Kumar Singh,GHOSI,BSP,13,Graduate,"Rs 6,65,36,025","Rs 34,54,591, "
54,B.B.Patil,ZAHIRABAD,TRS,18,Graduate,"Rs 1,28,78,51,556","Rs 1,15,35,000, "
55,B.N.Bache Gowda,CHIKKBALLAPUR,BJP,,Graduate Professional,"Rs 1,15,35,01,141","Rs 0, "
56,B.Y.Raghavendra,SHIMOGA,BJP,2,Graduate,"Rs 67,40,93,851","Rs 1,41,50,647, "
57,Baalu.T.R.,SRIPERUMBUDUR,DMK,,Graduate,"Rs 20,88,06,446","Rs 0, "
58,Babul Supriya Baral,ASANSOL,BJP,4,Graduate,"Rs 5,92,34,826","Rs 57,22,184, "
59,Badruddin Ajmal,DHUBRI,AIUDF,7,Post Graduate,"Rs 78,80,64,044","Rs 1,01,59,381, "
60,Baidyanath Prasad Mahto,VALMIKI NAGAR,JD(U),4,10th Pass,"Rs 1,79,34,888","Rs 29,15,945, "
61,Balashowry Vallabhaneni,MACHILIPATNAM,YSRCP,2,Post Graduate,"Rs 99,05,75,840","Rs 74,63,10,844, "
62,Balli Durgaprasad Rao,TIRUPATI,YSRCP,,Graduate Professional,"Rs 1,74,26,921","Rs 0, "
63,Bandi Sanjay Kumar,KARIMNAGAR,BJP,6,Post Graduate,"Rs 22,70,000","Rs 13,41,800, "
64,Bandyopadhyay Sudip,KOLKATA UTTAR,AITC,2,Graduate Professional,"Rs 6,11,76,355","Rs 0, "
65,Bapu Rao Soyam,ADILABAD,BJP,52,12th Pass,"Rs 30,99,414","Rs 2,31,450, "
66,Basanta Kumar Panda,KALAHANDI,BJP,3,12th Pass,"Rs 95,47,000","Rs 0, "
67,Bellana Chandra Sekhar,VIZIANAGARAM,YSRCP,4,Graduate Professional,"Rs 2,10,35,766","Rs 1,11,30,148, "
68,Benny Behanan,CHALAKUDY,INC,4,Graduate,"Rs 2,04,61,931","Rs 9,15,938, "
69,Bhagirath Chaudhary,AJMER,BJP,,12th Pass,"Rs 8,51,01,774","Rs 83,19,942, "
70,Bhagwant Mann,SANGRUR,AAP,,12th Pass,"Rs 1,64,27,274","Rs 0, "
71,Bhagwanth Khuba,BIDAR,BJP,1,Graduate Professional,"Rs 5,18,36,416","Rs 1,02,39,000, "
72,Bhanu Pratap Singh,JALAUN,BJP,1,Post Graduate,"Rs 1,06,99,516","Rs 12,265, "
73,Bharti Pawar,DINDORI,BJP,,Graduate Professional,"Rs 12,28,85,349","Rs 14,49,572, "
74,Bhartruhari Mahtab,CUTTACK,BJD,,Post Graduate,"Rs 10,68,94,976","Rs 0, "
